@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
3, 6, 4, 1, 1, 1, 5, 5, 1, 13, 5, False, True, False, True, -2, -1, False, False, -1, South
3, 5, 4, 1, 1, 1, 4, 5, 1, 13, 4, False, True, False, True, -2, -1, False, False, -1, South
2, 5, 4, 1, 1, 2, 4, 5, 1, 13, 5, False, True, False, True, 0, -1, False, False, -1, West
1, 5, 4, 1, 1, 1, 4, 5, 1, 13, 5, False, True, False, True, 0, -1, False, False, -1, West
1, 5, 4, 1, 1, 1, 3, 5, 1, 12, 5, False, True, False, True, 0, -2, False, False, -1, West
1, 6, 4, 1, 1, 1, 3, 5, 1, 11, 5, False, True, False, True, 0, -3, False, False, -1, North
1, 5, 4, 1, 1, 2, 3, 5, 1, 12, 5, False, True, False, True, 1, -2, False, False, -1, South
1, 4, 4, 1, 1, 1, 3, 5, 1, 11, 5, False, True, False, True, 0, -1, False, False, -1, South
1, 3, 4, 1, 1, 3, 1, 5, 1, 11, 4, False, False, False, True, 10, 1, False, False, 199, South
1, 3, 4, 1, 1, 3, 1, 5, 1, 11, 4, False, False, False, True, 10, 1, False, False, -1, South
1, 3, 4, 1, 1, 3, 1, 5, 1, 10, 4, False, False, False, True, 9, 1, False, False, -1, South
2, 3, 4, 1, 1, 3, 1, 5, 1, 10, 5, False, False, False, True, 8, 2, False, False, -1, East
3, 3, 4, 1, 1, 3, 1, 5, 1, 11, 5, False, False, False, True, 8, 2, False, False, -1, East
4, 3, 4, 1, 1, 3, 1, 5, 1, 10, 5, False, False, False, True, 6, 2, False, False, -1, East
5, 3, 4, 1, 1, 3, 1, 5, 1, 9, 5, False, False, False, True, 4, 2, False, True, -1, East
6, 3, 4, 1, 1, 3, 1, 5, 1, 9, 6, False, False, False, True, 3, 3, False, True, -1, East
7, 3, 4, 1, 1, 3, 1, 5, 1, 9, 6, False, False, False, True, 2, 3, False, True, -1, East
8, 3, 4, 1, 1, 3, 1, 5, 1, 10, 6, False, False, False, True, 2, 3, False, True, -1, East
9, 3, 4, 1, 1, 3, 1, 5, 1, 9, 6, False, False, False, True, 0, 3, False, False, -1, East
10, 3, 4, 1, 1, 3, 1, 5, 1, 9, 6, False, False, False, True, -1, 3, False, False, -1, East
10, 4, 4, 1, 1, 3, 1, 5, 1, 10, 6, False, False, False, True, 0, 2, False, False, -1, North
