@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
9, 9, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 6, -6, False, True, -1, East
10, 9, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, 4, -6, False, True, -1, East
11, 9, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, 3, -6, False, True, -1, East
12, 9, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, 2, -6, False, True, -1, East
13, 9, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 2, -6, False, False, -1, East
14, 9, 4, 1, 1, 3, 1, 5, 1, 16, 3, False, False, False, True, 2, -6, True, False, -1, East
14, 8, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 1, -5, False, False, -1, South
15, 8, 4, 1, 1, 3, 1, 5, 1, 16, 3, False, False, False, True, 1, -5, False, True, -1, East
16, 8, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, -1, -5, False, True, -1, East
15, 8, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, -1, -5, False, True, -1, West
14, 8, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, False, True, -1, -5, False, False, -1, West
13, 8, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, False, True, 0, -5, False, False, -1, West
13, 7, 4, 1, 1, 3, 1, 5, 1, 13, 4, False, False, False, True, 0, -3, False, False, -1, South
13, 6, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, False, True, 0, -3, False, False, -1, South
13, 5, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, 1, -2, False, False, -1, South
14, 5, 4, 1, 1, 3, 1, 5, 1, 14, 3, False, False, False, True, 0, -2, False, False, -1, East
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, False, False, 0, Stop
13, 10, 4, 5, 6, 6, 12, 13, 6, 13, 12, True, True, True, True, 0, 2, False, False, -1, East
13, 11, 4, 6, 6, 6, 12, 14, 6, 12, 12, True, True, True, True, -1, 1, False, False, -1, North
12, 11, 4, 6, 7, 6, 11, 14, 5, 11, 12, True, True, True, True, -1, 1, False, False, -1, West
11, 11, 4, 6, 6, 6, 12, 15, 5, 10, 12, True, True, True, True, -1, 1, False, False, -1, West
10, 11, 4, 6, 5, 5, 12, 14, 5, 10, 12, True, True, True, True, 0, 1, False, False, -1, West
10, 12, 4, 6, 4, 5, 13, 14, 4, 9, 12, True, True, True, True, -1, 0, False, False, -1, North
9, 12, 4, 6, 5, 5, 13, 14, 3, 8, 12, True, True, True, True, -1, 0, False, False, -1, West
8, 12, 4, 6, 4, 4, 13, 14, 3, 8, 11, True, True, True, True, 0, -1, False, False, -1, West
8, 11, 4, 7, 4, 3, 13, 13, 3, 7, 1, True, True, True, False, -5, 2, False, False, 199, South
7, 11, 4, 8, 4, 2, 13, 12, 3, 7, 1, True, True, True, False, -5, 2, False, False, -1, West
6, 11, 4, 7, 4, 2, 12, 13, 3, 7, 1, True, True, True, False, -4, 1, False, False, -1, West
5, 11, 4, 7, 4, 1, 12, 13, 3, 7, 1, True, True, True, False, -4, 1, False, False, -1, West
4, 11, 4, 7, 5, 1, 11, 13, 3, 7, 1, True, True, True, False, -3, 0, False, False, -1, West
3, 11, 4, 7, 6, 1, 12, 14, 3, 7, 1, True, True, True, False, -2, 1, False, False, -1, West
2, 11, 4, 8, 6, 2, 12, 14, 3, 7, 1, True, True, True, False, 0, 1, False, False, -1, West
2, 12, 4, 8, 5, 3, 1, 13, 3, 7, 1, True, False, True, False, 6, -7, False, True, 199, North
3, 12, 4, 7, 5, 3, 1, 12, 3, 7, 1, True, False, True, False, 4, -7, False, True, -1, East
4, 12, 4, 8, 5, 3, 1, 12, 4, 7, 1, True, False, True, False, 4, -7, False, True, -1, East
5, 12, 4, 7, 5, 3, 1, 12, 3, 7, 1, True, False, True, False, 2, -7, False, True, -1, East
6, 12, 4, 7, 6, 3, 1, 11, 3, 7, 1, True, False, True, False, 1, -6, False, False, -1, East
7, 12, 4, 7, 5, 3, 1, 12, 3, 7, 1, True, False, True, False, 0, -7, False, False, -1, East
7, 11, 4, 7, 4, 3, 1, 12, 3, 7, 1, True, False, True, False, 0, -7, False, False, -1, South
7, 10, 4, 6, 4, 3, 1, 12, 4, 7, 1, True, False, True, False, -1, -6, False, False, -1, South
6, 10, 4, 7, 4, 3, 1, 12, 3, 7, 1, True, False, True, False, 1, -6, False, False, -1, West
7, 10, 4, 8, 4, 3, 1, 12, 4, 7, 1, True, False, True, False, 1, -6, False, False, -1, East
8, 10, 4, 8, 5, 3, 1, 12, 4, 7, 1, True, False, True, False, 0, -5, False, False, -1, East
8, 9, 4, 9, 5, 3, 1, 12, 5, 7, 1, True, False, True, False, 1, -4, False, False, -1, South
9, 9, 4, 9, 6, 3, 1, 12, 5, 7, 1, True, False, True, False, 0, -3, False, False, -1, East
9, 8, 4, 9, 5, 3, 1, 13, 5, 7, 1, True, False, True, False, 0, -3, False, False, -1, South
9, 7, 4, 9, 5, 3, 1, 13, 6, 7, 1, True, False, True, False, 0, -2, False, False, -1, South
9, 6, 4, 9, 4, 3, 1, 13, 7, 7, 1, True, False, True, False, 0, -2, False, False, -1, South
9, 5, 4, 10, 4, 3, 1, 12, 7, 7, 1, True, False, True, False, 1, -1, False, False, -1, South
10, 5, 4, 10, 4, 3, 1, 12, 8, 7, 1, True, False, True, False, 0, -1, False, False, -1, East
10, 4, 4, 1, 1, 3, 1, 11, 8, 7, 1, False, False, True, False, 1, 4, False, False, 199, South
11, 4, 4, 1, 1, 3, 1, 11, 7, 7, 1, False, False, True, False, 0, 3, False, False, -1, East
11, 5, 4, 1, 1, 3, 1, 11, 7, 7, 1, False, False, True, False, 0, 2, False, False, -1, North
11, 6, 4, 1, 1, 3, 1, 11, 7, 7, 1, False, False, True, False, 0, 1, False, False, -1, North
9, 1, 4, 8, 7, 9, 7, 10, 7, 11, 7, True, True, True, True, 0, 6, False, True, 0, Stop
10, 1, 4, 8, 7, 8, 7, 10, 7, 11, 7, True, True, True, True, 0, 6, False, True, 99, East
9, 1, 4, 8, 7, 8, 7, 10, 8, 11, 7, True, True, True, True, -1, 6, False, True, -1, West
8, 1, 4, 8, 7, 8, 7, 9, 8, 11, 7, True, True, True, True, 0, 6, False, True, 99, West
9, 1, 4, 7, 7, 9, 7, 10, 8, 10, 7, True, True, True, True, 0, 6, False, True, -1, East
8, 1, 4, 7, 7, 10, 7, 9, 8, 9, 7, True, True, True, True, -1, 6, False, True, -1, West
7, 1, 4, 6, 7, 9, 7, 9, 8, 9, 7, True, True, True, True, -1, 6, False, True, 99, West
6, 1, 4, 6, 8, 9, 7, 10, 8, 8, 7, True, True, True, True, 0, 7, False, False, 99, West
6, 2, 4, 6, 8, 10, 7, 9, 8, 9, 7, True, True, True, True, 0, 6, False, False, 99, North
6, 3, 4, 6, 8, 10, 7, 10, 8, 10, 7, True, True, True, True, 0, 5, False, False, 99, North
6, 4, 4, 6, 8, 10, 7, 10, 8, 10, 8, True, True, True, True, 0, 4, False, False, 99, North
6, 5, 4, 6, 9, 10, 7, 10, 8, 10, 9, True, True, True, True, 0, 4, False, False, 99, North
