@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
3, 12, 4, 4, 4, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -8, False, True, -1, West
4, 12, 4, 5, 4, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -8, False, True, -1, East
5, 12, 4, 6, 4, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -8, False, True, -1, East
6, 12, 4, 6, 5, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -7, False, False, -1, East
6, 11, 4, 6, 6, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -5, False, False, -1, South
6, 10, 4, 6, 6, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -4, False, False, -1, South
6, 9, 4, 7, 6, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -3, False, False, -1, South
7, 9, 4, 8, 6, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -3, False, False, -1, East
8, 9, 4, 8, 6, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -3, False, False, -1, East
8, 8, 4, 8, 5, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -3, False, False, -1, South
8, 7, 4, 9, 5, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -2, False, False, -1, South
9, 7, 4, 8, 5, 3, 1, 5, 1, 7, 1, True, False, False, False, -1, -2, False, False, -1, East
8, 7, 4, 8, 4, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -3, False, False, -1, West
8, 6, 4, 8, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -3, False, False, -1, South
8, 5, 4, 7, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, -1, -2, False, False, -1, South
7, 5, 4, 6, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, -1, -2, False, False, -1, West
6, 5, 4, 7, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -2, False, False, -1, West
7, 5, 4, 8, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -2, False, False, -1, East
8, 5, 4, 9, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 1, -2, False, False, -1, East
9, 5, 4, 9, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -2, False, False, -1, East
9, 4, 4, 8, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, -1, -1, False, False, -1, South
8, 4, 4, 8, 3, 3, 1, 5, 1, 7, 1, True, False, False, False, 0, -1, False, False, -1, West
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, False, False, 0, Stop
