@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 50\nSize of the tree: 99\n','Number of rules: 52\n','Number of rules: 44\n','Number of rules: 49\n','Number of rules: 48\n','Number of rules: 45\n','Number of rules: 51\n','Number of rules: 42\n','Number of rules: 46\n','Number of rules: 47\n','Number of rules: 50\n','Number of rules: 53\n','Number of rules: 39\n','Number of rules: 43\n','Number of rules: 54\n','Number of rules: 30\n','Number of rules: 28\n','Number of rules: 29\n','Number of rules: 25\n','Number of rules: 26\n','Number of rules: 32\n','Number of rules: 31\n','Number of rules: 33\n','Number of rules: 35\n','Number of rules: 27\n','Number of rules: 37\n','Number of rules: 36\n','Number of rules: 34\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,22,15,0,59.459459,40.540541,0,0.480823,0.167042,0.357726,54.18192,91.223621,80.760991,9682.930471,-9602.16948,2.182729,261.700824,-259.518094,44.69646,1.208012,2027.691506,0.6,6,0.037037,1,0.962963,26,0.4,4,0.857143,0.6,0.705882,0.831481,0.594595,0.112949,0.887051,0.405405,0.611369,0.594595,0.589135,0.779339,0.002,0,0,0,32343,61705,9805,'Number of leaves: 58\nSize of the tree: 115\n',115,58,58
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,26,12,0,68.421053,31.578947,0,0.589189,0.140084,0.319776,45.502996,81.678864,82.616388,4323.415259,-4240.798871,2.174115,113.774086,-111.59997,50.278469,1.323118,2279.859946,0.818182,9,0.074074,2,0.925926,25,0.181818,2,0.818182,0.818182,0.818182,0.930976,0.684211,0.091055,0.908945,0.315789,0.685526,0.684211,0.681287,0.873713,0.003,0,0.01,0,32824,61532,9978,'Number of leaves: 59\nSize of the tree: 117\n',117,59,59
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,22,16,0,57.894737,42.105263,0,0.453237,0.178422,0.38664,57.615512,98.104244,84.597932,10761.013593,-10676.415661,2.226261,283.184568,-280.958307,40.328755,1.061283,1833.510968,0.636364,7,0.111111,3,0.888889,24,0.363636,4,0.7,0.636364,0.666667,0.755892,0.578947,0.126988,0.873012,0.421053,0.614912,0.578947,0.577395,0.7614,0.005,0,0,0,35710,61532,9978,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,23,15,0,60.526316,39.473684,0,0.493783,0.169973,0.375451,54.887266,95.265273,84.597932,11829.167656,-11744.569724,2.226261,311.293886,-309.067624,45.180788,1.188968,2054.104338,0.636364,7,0.111111,3,0.888889,24,0.363636,4,0.7,0.636364,0.666667,0.767677,0.605263,0.113058,0.886942,0.394737,0.610327,0.605263,0.602005,0.776003,0.002,0,0,0,34748,61532,9978,'Number of leaves: 63\nSize of the tree: 125\n',125,63,63
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,25,13,0,65.789474,34.210526,0,0.560107,0.155409,0.344571,50.184064,87.429841,84.597932,8610.474427,-8525.876495,2.226261,226.591432,-224.365171,48.216659,1.268859,2192.12748,0.636364,7,0.037037,1,0.962963,26,0.363636,4,0.875,0.636364,0.736842,0.747475,0.657895,0.095377,0.904623,0.342105,0.743978,0.657895,0.675803,0.81464,0.003,0,0.01,0,35229,61532,9978,'Number of leaves: 64\nSize of the tree: 127\n',127,64,64
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,24,13,0,64.864865,35.135135,0,0.552142,0.150881,0.347715,48.75518,88.295444,82.270779,7539.219595,-7456.948816,2.223535,203.762692,-201.539157,49.551123,1.33922,2252.399777,0.7,7,0.074074,2,0.925926,25,0.3,3,0.777778,0.7,0.736842,0.881481,0.648649,0.098243,0.901757,0.351351,0.670528,0.648649,0.649067,0.823302,0.003,0,0,0,35710,61705,9805,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,23,14,0,62.162162,37.837838,0,0.510397,0.171977,0.362915,55.782762,92.546966,80.760991,8613.775236,-8533.014245,2.182729,232.804736,-230.622007,41.41413,1.119301,1878.785953,0.6,6,0.185185,5,0.814815,22,0.4,4,0.545455,0.6,0.571429,0.766667,0.621622,0.106898,0.893102,0.378378,0.65836,0.621622,0.632381,0.807061,0.003,0,0.01,0,34267,61705,9805,'Number of leaves: 62\nSize of the tree: 123\n',123,62,62
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,26,11,0,70.27027,29.72973,0,0.612381,0.135893,0.325256,44.078619,82.943442,80.760991,5393.293656,-5312.532665,2.182729,145.764693,-143.581964,50.146225,1.355303,2274.924586,0.9,9,0.074074,2,0.925926,25,0.1,1,0.818182,0.9,0.857143,0.985185,0.702703,0.090187,0.909813,0.297297,0.699895,0.702703,0.700129,0.864537,0.003,0,0,0,35229,61705,9805,'Number of leaves: 64\nSize of the tree: 127\n',127,64,64
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,22,15,0,59.459459,40.540541,0,0.472433,0.166467,0.364734,53.995464,93.010751,80.760991,5402.212735,-5321.451744,2.182729,146.00575,-143.82302,43.092566,1.164664,1954.929564,0.6,6,0.111111,3,0.888889,24,0.4,4,0.666667,0.6,0.631579,0.840741,0.594595,0.125118,0.874882,0.405405,0.595414,0.594595,0.59412,0.832707,0.003,0.001,0,0,34267,61705,9805,'Number of leaves: 62\nSize of the tree: 123\n',123,62,62
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,23,14,0,62.162162,37.837838,0,0.503831,0.170706,0.354314,55.370589,90.353498,80.760991,9683.20237,-9602.441379,2.182729,261.708172,-259.525443,43.035139,1.163112,1952.324351,0.7,7,0.259259,7,0.740741,20,0.3,3,0.5,0.7,0.583333,0.824074,0.621622,0.122862,0.877138,0.378378,0.638002,0.621622,0.606049,0.766602,0.003,0,0,0,35710,61705,9805,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
