@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, West
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
5, 8, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 4, -1, South
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, North
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
5, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 0, 3, -1, East
4, 9, 4, 1, 1, 5, 12, 5, 1, 7, 1, False, True, False, False, 1, 3, -1, West
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, 0, Stop
13, 10, 4, 6, 6, 4, 12, 13, 6, 13, 12, True, True, True, True, 0, 2, -1, East
13, 11, 4, 7, 6, 5, 12, 13, 6, 14, 12, True, True, True, True, 1, 1, -1, North
14, 11, 4, 7, 5, 6, 12, 13, 5, 14, 12, True, True, True, True, 0, 1, -1, East
14, 12, 4, 6, 5, 6, 13, 14, 5, 13, 12, True, True, True, True, -1, 0, -1, North
13, 12, 4, 7, 5, 6, 13, 15, 5, 13, 11, True, True, True, False, -7, 1, 199, West
12, 12, 4, 7, 5, 7, 13, 16, 5, 7, 1, True, True, True, False, -5, 1, -1, West
11, 12, 4, 6, 5, 7, 13, 16, 5, 7, 1, True, True, True, False, -4, 1, -1, West
10, 12, 4, 7, 5, 8, 13, 15, 5, 7, 1, True, True, True, False, -2, 1, -1, West
9, 12, 4, 7, 4, 9, 13, 15, 6, 7, 1, True, True, True, False, 0, 1, -1, West
9, 13, 4, 7, 4, 3, 1, 15, 7, 7, 1, True, False, True, False, -2, -9, 199, North
8, 13, 4, 8, 4, 3, 1, 15, 8, 7, 1, True, False, True, False, 0, -9, -1, West
8, 12, 4, 8, 3, 3, 1, 15, 7, 7, 1, True, False, True, False, 0, -9, -1, South
8, 11, 4, 8, 3, 3, 1, 15, 7, 7, 1, True, False, True, False, 0, -8, -1, South
8, 10, 4, 8, 3, 3, 1, 15, 6, 7, 1, True, False, True, False, 0, -7, -1, South
8, 9, 4, 7, 3, 3, 1, 16, 6, 7, 1, True, False, True, False, -1, -6, -1, South
7, 9, 4, 6, 3, 3, 1, 16, 5, 7, 1, True, False, True, False, -1, -6, -1, West
6, 9, 4, 6, 4, 3, 1, 15, 5, 7, 1, True, False, True, False, 0, -5, -1, West
6, 8, 4, 5, 4, 3, 1, 15, 6, 7, 1, True, False, True, False, -1, -4, -1, South
5, 8, 4, 6, 4, 3, 1, 14, 6, 7, 1, True, False, True, False, 1, -4, -1, West
6, 8, 4, 6, 4, 3, 1, 15, 6, 7, 1, True, False, True, False, 0, -4, -1, East
6, 7, 4, 5, 4, 3, 1, 15, 5, 7, 1, True, False, True, False, -1, -3, -1, South
5, 7, 4, 5, 4, 3, 1, 15, 6, 7, 1, True, False, True, False, 0, -3, -1, West
5, 6, 4, 4, 4, 3, 1, 16, 6, 7, 1, True, False, True, False, -1, -2, -1, South
4, 6, 4, 5, 4, 3, 1, 16, 7, 7, 1, True, False, True, False, 1, -2, -1, West
5, 6, 4, 4, 4, 3, 1, 16, 8, 7, 1, True, False, True, False, -1, -2, -1, East
4, 6, 4, 4, 4, 3, 1, 15, 8, 7, 1, True, False, True, False, 0, -2, -1, West
4, 5, 4, 4, 3, 3, 1, 14, 8, 7, 1, True, False, True, False, 0, -2, -1, South
4, 4, 4, 3, 3, 3, 1, 15, 8, 7, 1, True, False, True, False, -1, -1, -1, South
3, 4, 4, 1, 1, 3, 1, 16, 8, 7, 1, False, False, True, False, 13, 4, 199, West
4, 4, 4, 1, 1, 3, 1, 16, 8, 7, 1, False, False, True, False, 12, 4, -1, East
5, 4, 4, 1, 1, 3, 1, 17, 8, 7, 1, False, False, True, False, 12, 4, -1, East
6, 4, 4, 1, 1, 3, 1, 17, 9, 7, 1, False, False, True, False, 11, 5, -1, East
7, 4, 4, 1, 1, 3, 1, 18, 9, 7, 1, False, False, True, False, 11, 5, -1, East
8, 4, 4, 1, 1, 3, 1, 18, 10, 7, 1, False, False, True, False, 10, 6, -1, East
9, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 9, 7, -1, East
10, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 8, 7, -1, East
11, 4, 4, 1, 1, 3, 1, 18, 12, 7, 1, False, False, True, False, 7, 8, -1, East
12, 4, 4, 1, 1, 3, 1, 18, 12, 7, 1, False, False, True, False, 6, 8, -1, East
13, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 5, 7, -1, East
14, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 4, 7, -1, East
15, 4, 4, 1, 1, 3, 1, 18, 10, 7, 1, False, False, True, False, 3, 6, -1, East
16, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 2, 7, -1, East
17, 4, 4, 1, 1, 3, 1, 18, 11, 7, 1, False, False, True, False, 1, 7, -1, East
18, 4, 4, 1, 1, 3, 1, 18, 12, 7, 1, False, False, True, False, 0, 8, -1, East
18, 5, 4, 1, 1, 3, 1, 17, 12, 7, 1, False, False, True, False, -1, 7, -1, North
17, 5, 4, 1, 1, 3, 1, 17, 13, 7, 1, False, False, True, False, 0, 8, -1, West
17, 6, 4, 1, 1, 3, 1, 18, 13, 7, 1, False, False, True, False, 1, 7, -1, North
18, 6, 4, 1, 1, 3, 1, 18, 13, 7, 1, False, False, True, False, 0, 7, -1, East
18, 7, 4, 1, 1, 3, 1, 18, 14, 7, 1, False, False, True, False, 0, 7, -1, North
18, 8, 4, 1, 1, 3, 1, 18, 14, 7, 1, False, False, True, False, 0, 6, -1, North
18, 9, 4, 1, 1, 3, 1, 18, 14, 7, 1, False, False, True, False, 0, 5, 99, North
18, 10, 4, 1, 1, 3, 1, 18, 13, 7, 1, False, False, True, False, 0, 3, -1, North
18, 11, 4, 1, 1, 3, 1, 18, 13, 7, 1, False, False, True, False, 0, 2, -1, North
18, 12, 4, 1, 1, 3, 1, 18, 14, 7, 1, False, False, True, False, 0, 2, -1, North
12, 9, 4, 4, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, 0, Stop
13, 9, 4, 4, 12, 5, 6, 13, 12, 17, 4, True, True, True, True, 0, 3, -1, East
13, 10, 4, 4, 13, 6, 6, 13, 11, 17, 3, True, True, True, True, 0, 1, -1, North
13, 11, 4, 4, 12, 7, 6, 5, 1, 17, 3, True, True, False, True, -9, 1, 199, North
12, 11, 4, 4, 13, 7, 5, 5, 1, 17, 4, True, True, False, True, -8, 2, -1, West
11, 11, 4, 4, 12, 7, 5, 5, 1, 17, 3, True, True, False, True, -7, 1, -1, West
10, 11, 4, 4, 12, 7, 6, 5, 1, 17, 3, True, True, False, True, -6, 1, -1, West
9, 11, 4, 3, 12, 7, 7, 5, 1, 17, 4, True, True, False, True, -2, -4, -1, West
9, 10, 4, 3, 13, 7, 7, 5, 1, 17, 3, True, True, False, True, -2, -3, -1, South
9, 9, 4, 3, 12, 7, 6, 5, 1, 18, 3, True, True, False, True, -2, -3, -1, South
8, 9, 4, 4, 12, 7, 6, 5, 1, 17, 3, True, True, False, True, -1, -3, -1, West
7, 9, 4, 4, 11, 7, 6, 5, 1, 18, 3, True, True, False, True, 0, -3, -1, West
7, 8, 4, 4, 10, 7, 6, 5, 1, 18, 4, True, True, False, True, 0, -2, -1, South
7, 7, 4, 3, 10, 3, 1, 5, 1, 18, 4, True, False, False, True, -4, 3, 199, South
6, 7, 4, 3, 10, 3, 1, 5, 1, 17, 4, True, False, False, True, -3, 3, -1, West
5, 7, 4, 2, 10, 3, 1, 5, 1, 18, 4, True, False, False, True, -3, 3, -1, West
4, 7, 4, 2, 11, 3, 1, 5, 1, 18, 3, True, False, False, True, -2, 4, -1, West
3, 7, 4, 3, 11, 3, 1, 5, 1, 17, 3, True, False, False, True, 0, 4, 99, West
3, 8, 4, 2, 11, 3, 1, 5, 1, 17, 3, True, False, False, True, -1, 3, -1, North
2, 8, 4, 1, 11, 3, 1, 5, 1, 18, 3, True, False, False, True, -1, 3, -1, West
1, 8, 4, 1, 12, 3, 1, 5, 1, 18, 3, True, False, False, True, 0, 4, -1, West
2, 8, 4, 1, 11, 3, 1, 5, 1, 18, 4, True, False, False, True, -1, 3, -1, East
